Id,Name,Type,Price,Mall,2026-05-15 02:04:50
1878552,FORSA 지포스 G210 D3 512MB,,27000,47몰,
2499011,엠탑코리아 지포스 GTX750 프리미엄 D5 1GB,,117000,1몰,
2672462,INNO3D 지포스 GT730 D3 1GB LP 무소음,,147860,1몰,
3734562,MSI 지포스 GT710 D3 2GB LP 무소음,,63900,134몰,
3745148,갤럭시 GALAX 지포스 GT710 D3 1GB LP,,62000,2몰,
3758234,갤럭시 GALAX 지포스 GT710 D3 1GB LP 무소음,,56070,134몰,
4058453,NVIDIA 쿼드로 M6000 D5 24GB 리더스시스템즈,,770000,1몰,
5041433,NVIDIA 쿼드로 P2000 D5 5GB ABKO,,278640,2몰,
5149140,GIGABYTE 지포스 GT1030 UD2 D5 2GB 미니미 제이씨현,,465000,2몰,
5150074,INNO3D 지포스 GT1030 D5 2GB LP 무소음,,300000,1몰,
5150631,갤럭시 GALAX 지포스 GT1030 강아지 EXOC D5 2GB LP,,120790,160몰,
5150742,갤럭시 GALAX 지포스 GT1030 D5 2GB,,126050,189몰,
5385778,FORSA 지포스 GTX1050 Ti D5 4GB DUAL,,181000,79몰,
5406903,EVGA 파워링크 (해외구매),,20270,5몰,
5492030,AMD 라데온 PRO WX2100 D5 2GB LP,,233330,4몰,
5727780,NVIDIA Tesla V100 HBM2 16GB SXM2,,1410900,3몰,
6038686,MSI 지포스 GT1030 에어로 ITX OC D4 2GB,,123900,165몰,
6069251,NVIDIA 쿼드로 P620 D5 2GB,,165000,3몰,
6211339,GIGABYTE AORUS SLI HB 브릿지 L,,38000,17몰,
6288917,AFOX 지포스 GT710 L5 D3 1GB LP 디앤디컴,,59000,80몰,
6632467,라데온 RX 480 D5 4GB (중고),,96000,1몰,
6632590,라데온 RX 570 D5 4GB (중고),,200000,1몰,
6632827,라데온 RX 580 D5 4GB (중고),,126000,1몰,
6641014,지포스 GTX1050 D5 2GB (중고),,73870,12몰,
6641638,지포스 GTX1050 Ti D5 4GB (중고),,99000,19몰,
6641779,지포스 GTX1060 D5 3GB (중고),,105000,80몰,
6642142,지포스 GTX1060 D5 6GB (중고),,132530,20몰,
6642286,지포스 GTX1070 D5 8GB (중고),,142060,34몰,
6642355,지포스 GTX1070 Ti D5 8GB (중고),,162650,19몰,
