Id,Name,Type,Price,Mall,2026-06-15 21:19:50
96772838,킹스톤 FURY Renegade G5 M.2 NVMe,4TB,2289710,65몰,559원/1GB
96773120,킹스톤 FURY Renegade G5 M.2 NVMe,2TB,1208920,67몰,590원/1GB
96773153,킹스톤 FURY Renegade G5 M.2 NVMe,1TB,843980,35몰,824원/1GB
96853331,TeamGroup GX2 해외구매,1TB,161550,8몰,162원/1GB
96853913,Western Digital WD Blue SN5100 M.2 NVMe,500GB,189000,107몰,378원/1GB
96853946,Western Digital WD Blue SN5100 M.2 NVMe,1TB,304060,119몰,304원/1GB
96853958,Western Digital WD Blue SN5100 M.2 NVMe,2TB,399000,96몰,200원/1GB
96854075,Western Digital WD Blue SN5100 M.2 NVMe 해외구매,500GB,154280,15몰,309원/1GB
96854129,Western Digital WD Blue SN5100 M.2 NVMe 해외구매,1TB,204650,17몰,205원/1GB
96854213,Western Digital WD Blue SN5100 M.2 NVMe 해외구매,2TB,396810,10몰,198원/1GB
96979466,삼성전자 PM9C1b M.2 NVMe 병행수입,512GB,251420,61몰,491원/1GB
96979484,삼성전자 PM9C1b M.2 NVMe 병행수입,1TB,335000,70몰,327원/1GB
96981062,Fikwot FX910 M.2 NVMe 해외구매,1TB,289150,1몰,289원/1GB
96981077,Fikwot FX910 M.2 NVMe 해외구매,2TB,506820,1몰,253원/1GB
96981242,TeamGroup NV5000 M.2 NVMe 해외구매,1TB,253100,11몰,253원/1GB
96981263,TeamGroup NV5000 M.2 NVMe 해외구매,2TB,478700,1몰,239원/1GB
96982988,AGI AI828 M.2 NVMe 해외구매,1TB,350950,6몰,351원/1GB
96983057,AGI AI828 M.2 NVMe 해외구매,2TB,1115200,1몰,558원/1GB
96983330,Sabrent EC-P3X4 4-Drive M.2 SSD to PCIe x16 CARD 해외구매,EC-P3X4,307080,3몰,
96983756,TWSC CUSU CV3500Q M.2 NVMe 해외구매,512GB,145200,2몰,284원/1GB
97118654,트랜센드 JetDrive 850 M.2 NVMe 해외구매,960GB,558350,1몰,582원/1GB
97119230,S SHARKSPEED M.2 NVMe 해외구매,1TB,284560,2몰,285원/1GB
97119239,S SHARKSPEED M.2 NVMe 해외구매,2TB,604060,1몰,302원/1GB
97119866,킹스톤 OM3PGP4512Q-A0 M.2 2230 NVMe 해외구매,512GB,188680,7몰,369원/1GB
97223216,S SHARKSPEED M.2 2230 NVMe 해외구매,1TB,338400,2몰,338원/1GB
97223309,키오시아 BG6 KBG6AZNV M.2 NVMe 벌크,256GB,79000,1몰,309원/1GB
